,EV6,EV5,EV4,EV3,EV2,EV1,time,feeder_load
0,200.0,200.0,200.0,200.0,200.0,200.0,0.0,2906258.096694079
1,200.0,200.0,200.0,200.0,200.0,200.0,0.08333333333333333,2906258.096694079
2,200.0,200.0,200.0,200.0,200.0,200.0,0.16666666666666666,2832039.004128267
3,200.0,200.0,200.0,200.0,200.0,200.0,0.25,2842940.7013836065
4,200.0,200.0,200.0,200.0,200.0,200.0,0.3333333333333333,2836732.194872544
5,200.0,200.0,200.0,200.0,200.0,200.0,0.4166666666666667,2819630.1178896492
6,200.0,200.0,200.0,200.0,200.0,200.0,0.5,2824724.469820032
7,200.0,200.0,200.0,200.0,200.0,200.0,0.5833333333333334,2822483.8580352124
8,200.0,200.0,200.0,200.0,200.0,200.0,0.6666666666666666,2821798.1519860243
9,200.0,200.0,200.0,200.0,200.0,200.0,0.75,2794353.4812746234
10,200.0,200.0,200.0,200.0,200.0,200.0,0.8333333333333334,2786589.7126519
11,200.0,200.0,200.0,200.0,200.0,200.0,0.9166666666666666,2790035.086777892
12,200.0,200.0,200.0,200.0,200.0,200.0,1.0,2792497.269460454
13,200.0,200.0,200.0,200.0,200.0,200.0,1.0833333333333333,2790075.1324570565
14,200.0,200.0,200.0,200.0,200.0,200.0,1.1666666666666667,2793665.3338921927
15,200.0,200.0,200.0,200.0,200.0,200.0,1.25,2794112.4501520284
16,200.0,200.0,200.0,200.0,200.0,200.0,1.3333333333333333,2778261.6465907823
17,200.0,200.0,200.0,200.0,200.0,200.0,1.4166666666666667,2784106.406678357
18,200.0,200.0,200.0,200.0,200.0,200.0,1.5,2761747.9866969204
19,200.0,200.0,200.0,200.0,200.0,200.0,1.5833333333333333,2753861.6815233706
20,200.0,200.0,200.0,200.0,200.0,200.0,1.6666666666666667,2766229.4375856426
21,200.0,200.0,200.0,200.0,200.0,200.0,1.75,2765012.2291607633
22,200.0,200.0,200.0,200.0,200.0,200.0,1.8333333333333333,2750820.2616389375
23,200.0,200.0,200.0,200.0,200.0,200.0,1.9166666666666667,2755329.0361071117
24,200.0,200.0,200.0,200.0,200.0,200.0,2.0,2752069.209590175
25,200.0,200.0,200.0,200.0,200.0,200.0,2.0833333333333335,2762188.132402648
26,200.0,200.0,200.0,200.0,200.0,200.0,2.1666666666666665,2744727.580195136
27,200.0,200.0,200.0,200.0,200.0,200.0,2.25,2751655.8020769535
28,200.0,200.0,200.0,200.0,200.0,200.0,2.3333333333333335,2748965.893522395
29,200.0,200.0,200.0,200.0,200.0,200.0,2.4166666666666665,2752414.9129585614
30,200.0,200.0,200.0,200.0,200.0,200.0,2.5,2741251.990689729
31,200.0,200.0,200.0,200.0,200.0,200.0,2.5833333333333335,2751232.5258276924
32,200.0,200.0,200.0,200.0,200.0,200.0,2.6666666666666665,2748450.117419788
33,200.0,200.0,200.0,200.0,200.0,200.0,2.75,2744103.4802481984
34,200.0,200.0,200.0,200.0,200.0,200.0,2.8333333333333335,2730948.1031752806
35,200.0,200.0,200.0,200.0,200.0,200.0,2.9166666666666665,2726039.8101840103
36,200.0,200.0,200.0,200.0,200.0,200.0,3.0,2742821.617996955
37,200.0,200.0,200.0,200.0,200.0,200.0,3.0833333333333335,2736352.9263064684
38,200.0,200.0,200.0,200.0,200.0,200.0,3.1666666666666665,2743048.4006474153
39,200.0,200.0,200.0,200.0,200.0,200.0,3.25,2744665.0424734885
40,200.0,200.0,200.0,200.0,200.0,200.0,3.3333333333333335,2747160.1507396004
41,200.0,200.0,200.0,200.0,200.0,200.0,3.4166666666666665,2752859.330860661
42,200.0,200.0,200.0,200.0,200.0,200.0,3.5,2738481.945179824
43,200.0,200.0,200.0,200.0,200.0,200.0,3.5833333333333335,2739467.724099094
44,200.0,200.0,200.0,200.0,200.0,200.0,3.6666666666666665,2731259.5499339015
45,200.0,200.0,200.0,200.0,200.0,200.0,3.75,2733417.428814095
46,200.0,200.0,200.0,200.0,200.0,200.0,3.8333333333333335,2749261.9012933313
47,200.0,200.0,200.0,200.0,200.0,200.0,3.9166666666666665,2751651.9324069885
48,200.0,200.0,200.0,200.0,200.0,200.0,4.0,2756412.4194899406
49,200.0,200.0,200.0,200.0,200.0,200.0,4.083333333333333,2759891.9484980265
50,200.0,200.0,200.0,200.0,200.0,200.0,4.166666666666667,2761694.293718852
